,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
137,40.0,Sam Ficken (FA),1.0,3.0,33.3,34.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,2.0,13.0,6.5,0.0%
138,41.0,Michael Palardy (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,33.3%
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,1.0,Jason Sanders (MIA),36.0,39.0,92.3,56.0,1.0,8.0,7.0,12.0,8.0,36.0,36.0,16.0,172.0,10.8,5.0%
142,2.0,Younghoe Koo (ATL),37.0,39.0,94.9,54.0,0.0,10.0,11.0,8.0,8.0,33.0,36.0,15.0,168.0,11.2,23.0%
143,3.0,Tyler Bass (BUF),28.0,34.0,82.4,58.0,1.0,9.0,6.0,8.0,4.0,57.0,59.0,16.0,157.0,9.8,93.0%
144,4.0,Daniel Carlson (LV),33.0,35.0,94.3,54.0,0.0,18.0,8.0,3.0,4.0,45.0,47.0,16.0,155.0,9.7,96.5%
145,5.0,Greg Zuerlein (NYJ),34.0,41.0,82.9,59.0,1.0,5.0,13.0,12.0,3.0,33.0,36.0,16.0,153.0,9.6,2.0%
146,6.0,Rodrigo Blankenship (IND),32.0,37.0,86.5,53.0,0.0,10.0,12.0,9.0,1.0,43.0,45.0,16.0,150.0,9.4,16.2%
147,7.0,Justin Tucker (BAL),26.0,29.0,89.7,55.0,0.0,8.0,6.0,9.0,3.0,52.0,53.0,16.0,145.0,9.1,99.9%
148,8.0,Ryan Succop (TB),28.0,31.0,90.3,50.0,1.0,10.0,9.0,7.0,1.0,52.0,57.0,16.0,145.0,9.1,39.5%
149,9.0,Cairo Santos (CHI),30.0,32.0,93.8,55.0,0.0,9.0,10.0,9.0,2.0,36.0,37.0,16.0,139.0,8.7,1.0%
150,10.0,Jason Myers (SEA),24.0,24.0,100.0,61.0,0.0,2.0,7.0,13.0,2.0,49.0,53.0,16.0,138.0,8.6,1.0%
151,11.0,Brandon McManus (DEN),28.0,34.0,82.4,58.0,0.0,6.0,4.0,8.0,10.0,24.0,27.0,15.0,136.0,9.1,69.1%
152,12.0,Wil Lutz (NO),23.0,28.0,82.1,53.0,0.0,5.0,10.0,7.0,1.0,57.0,58.0,16.0,135.0,8.4,7.3%
153,13.0,Harrison Butker (KC),25.0,27.0,92.6,58.0,2.0,7.0,9.0,3.0,4.0,48.0,54.0,16.0,134.0,8.4,97.6%
154,14.0,Graham Gano (NYG),31.0,32.0,96.9,55.0,0.0,4.0,13.0,9.0,5.0,21.0,23.0,16.0,133.0,8.3,21.7%
155,15.0,Ka'imi Fairbairn (HOU),27.0,31.0,87.1,54.0,0.0,8.0,9.0,6.0,4.0,37.0,40.0,16.0,132.0,8.3,0.3%
156,16.0,Joey Slye (WAS),29.0,36.0,80.6,56.0,0.0,11.0,10.0,7.0,1.0,33.0,36.0,16.0,129.0,8.1,1.3%
157,17.0,Dustin Hopkins (LAC),27.0,34.0,79.4,51.0,0.0,5.0,7.0,13.0,2.0,30.0,32.0,16.0,128.0,8.0,32.5%
158,18.0,Nick Folk (NE),26.0,28.0,92.9,51.0,0.0,6.0,7.0,11.0,2.0,30.0,33.0,16.0,123.0,7.7,70.6%
159,19.0,Mason Crosby (GB),16.0,16.0,100.0,57.0,1.0,1.0,5.0,5.0,4.0,59.0,63.0,16.0,120.0,7.5,4.8%
160,20.0,Michael Badgley (FA),24.0,33.0,72.7,53.0,0.0,8.0,6.0,8.0,2.0,36.0,39.0,16.0,120.0,7.5,15.6%
161,21.0,Stephen Gostkowski (FA),18.0,26.0,69.2,55.0,0.0,2.0,4.0,5.0,7.0,46.0,48.0,15.0,119.0,7.9,0.0%
162,22.0,Matt Prater (ARI),21.0,28.0,75.0,59.0,0.0,4.0,7.0,4.0,6.0,38.0,41.0,16.0,117.0,7.3,76.5%
163,23.0,Cody Parkey (FA),19.0,22.0,86.4,46.0,0.0,5.0,4.0,10.0,0.0,43.0,47.0,15.0,110.0,7.3,0.0%
164,24.0,Robbie Gould (SF),19.0,23.0,82.6,52.0,0.0,3.0,5.0,9.0,2.0,36.0,38.0,15.0,106.0,7.1,38.2%
165,25.0,Randy Bullock (TEN),21.0,26.0,80.8,55.0,0.0,3.0,8.0,7.0,3.0,24.0,25.0,12.0,100.0,8.3,2.8%
166,26.0,Chris Boswell (PIT),19.0,20.0,95.0,59.0,0.0,5.0,6.0,7.0,1.0,34.0,38.0,13.0,100.0,7.7,11.2%
167,27.0,Zane Gonzalez (CAR),16.0,22.0,72.7,56.0,0.0,4.0,2.0,8.0,2.0,38.0,39.0,12.0,98.0,8.2,0.1%
168,28.0,Dan Bailey (FA),15.0,22.0,68.2,53.0,0.0,6.0,3.0,4.0,2.0,37.0,43.0,16.0,90.0,5.6,0.0%
169,29.0,Jake Elliott (PHI),14.0,19.0,73.7,54.0,0.0,1.0,6.0,5.0,2.0,24.0,26.0,16.0,75.0,4.7,25.7%
170,30.0,Matt Gay (LAR),14.0,16.0,87.5,51.0,0.0,2.0,5.0,6.0,1.0,16.0,16.0,7.0,66.0,9.4,98.0%
171,31.0,Sam Sloman (FA),10.0,13.0,76.9,47.0,0.0,2.0,6.0,2.0,0.0,23.0,26.0,8.0,55.0,6.9,0.0%
172,32.0,Sam Ficken (FA),13.0,15.0,86.7,54.0,0.0,5.0,6.0,1.0,1.0,12.0,15.0,9.0,54.0,6.0,0.0%
173,33.0,Aldrick Rosas (DET),8.0,11.0,72.7,54.0,0.0,3.0,2.0,0.0,3.0,9.0,9.0,6.0,39.0,6.5,0.0%
174,34.0,Sergio Castillo (NYJ),8.0,13.0,61.5,55.0,0.0,1.0,3.0,2.0,2.0,6.0,7.0,6.0,36.0,6.0,0.0%
175,35.0,Mike Nugent (FA),7.0,8.0,87.5,43.0,0.0,1.0,4.0,2.0,0.0,7.0,7.0,4.0,30.0,7.5,1.0%
176,36.0,Josh Lambo (FA),5.0,5.0,100.0,59.0,0.0,0.0,2.0,1.0,2.0,8.0,10.0,4.0,28.0,7.0,0.0%
