Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
168,Dezmon Patmon (IND),2,4,21,10.5,14,0,1,0,0,0,0,4,8.1,2,0.00%
169,Preston Williams (CAR),6,16,71,11.8,34,3,0,1,7,0,0,6,7.8,1.3,0.00%
170,Andre Roberts (CAR),1,2,35,35,35,2,0,3,19,0,2,16,7.4,0.5,0.00%
171,K.J. Hamler (DEN),5,10,74,14.8,28,2,0,0,0,0,0,3,7.4,2.5,5.30%
172,Dede Westbrook (FA),10,15,68,6.8,17,0,0,0,0,0,0,15,6.8,0.5,0.00%
173,Dax Milne (WAS),9,14,83,9.2,22,1,0,1,1,0,1,9,6.4,0.7,0.00%
174,Ja'Marcus Bradley (FA),4,4,64,16,37,2,0,0,0,0,0,4,6.4,1.6,0.00%
175,Brandon Powell (LAR),0,0,0,0,0,0,0,0,0,0,0,6,6,1,0.10%
176,Penny Hart (SEA),7,12,59,8.4,16,0,0,0,0,0,0,12,5.9,0.5,0.00%
177,C.J. Board (FA),4,6,51,12.8,38,2,0,1,6,0,0,6,5.7,1,0.00%
178,Amari Rodgers (GB),4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,0.70%
179,Jason Moore Jr. (LAC),3,4,56,18.7,24,1,0,0,0,0,0,1,5.6,5.6,0.00%
180,Alex Erickson (WAS),3,4,55,18.3,25,1,0,0,0,0,0,17,5.5,0.3,0.00%
181,Jaelon Darden (TB),6,12,43,7.2,29,1,0,1,11,0,0,9,5.4,0.6,0.00%
182,Mike Thomas (CIN),5,11,52,10.4,19,0,0,0,0,0,0,7,5.2,0.7,0.10%
183,William Fuller V (FA),4,8,26,6.5,10,0,0,0,0,0,0,2,4.6,2.3,0.60%
184,Trent Taylor (CIN),2,3,41,20.5,26,1,0,0,0,0,0,4,4.1,1,0.10%
185,Gunner Olszewski (PIT),2,3,31,15.5,22,1,0,1,9,0,0,16,4,0.3,0.10%
186,Greg Dortch (ARI),3,3,15,5,10,0,0,1,24,0,0,5,3.9,0.8,0.00%
187,Curtis Samuel (WAS),6,9,27,4.5,10,0,0,4,11,0,0,5,3.8,0.8,7.20%
188,Willie Snead IV (FA),4,8,38,9.5,15,0,0,0,0,0,0,7,3.8,0.5,0.00%
189,Juwann Winfree (GB),8,13,58,7.3,12,0,0,0,0,0,1,5,3.8,0.8,0.00%
190,Kevin White (FA),1,5,38,38,38,2,0,0,0,0,0,4,3.8,1,0.00%
191,D.J. Montgomery (FA),3,6,36,12,14,0,0,0,0,0,0,2,3.6,1.8,0.00%
192,Pharoh Cooper (FA),4,11,33,8.3,15,0,0,1,3,0,0,8,3.6,0.5,0.00%
193,J.J. Arcega-Whiteside (SEA),2,5,36,18,23,1,0,0,0,0,0,7,3.6,0.5,0.10%
194,Trenton Irwin (CIN),2,5,34,17,25,1,0,0,0,0,0,5,3.4,0.7,0.00%
195,Seth Williams (JAC),1,1,34,34,34,2,0,0,0,0,0,1,3.4,3.4,0.00%
196,Cody Hollister (TEN),4,7,33,8.3,14,0,0,0,0,0,0,3,3.3,1.1,0.00%
197,Cody White (PIT),5,6,33,6.6,11,0,0,0,0,0,0,6,3.3,0.6,0.00%
198,KJ Hill Jr. (FA),3,3,30,10,19,0,0,0,0,0,0,6,3,0.5,0.00%
199,Jake Kumerow (BUF),2,6,28,14,15,0,0,0,0,0,0,7,2.8,0.4,0.10%
200,Mike Strachan (IND),2,3,26,13,16,0,0,0,0,0,0,2,2.6,1.3,0.00%
201,Christian Blake (FA),4,10,25,6.3,8,0,0,0,0,0,0,10,2.5,0.3,0.00%
202,Marcus Kemp (FA),2,5,24,12,16,0,0,0,0,0,0,12,2.4,0.2,0.00%
203,Tylan Wallace (BAL),2,6,23,11.5,18,0,0,0,0,0,0,10,2.3,0.2,0.10%
204,Dazz Newsome (FA),2,5,23,11.5,13,0,0,0,0,0,0,3,2.3,0.8,0.00%
205,Davion Davis (FA),1,3,17,17,17,0,0,0,0,0,0,2,1.7,0.9,0.00%
206,Keith Kirkwood (FA),3,7,17,5.7,7,0,0,0,0,0,0,3,1.7,0.6,0.00%
207,David Sills V (NYG),2,6,17,8.5,12,0,0,0,0,0,0,4,1.7,0.4,0.00%
208,Tyron Johnson (LV),2,5,16,8,10,0,0,0,0,0,0,7,1.6,0.2,0.10%
209,Tyrell Williams (FA),2,3,14,7,7,0,0,0,0,0,0,1,1.4,1.4,0.00%
210,Stanley Morgan Jr. (CIN),2,4,11,5.5,8,0,0,1,3,0,0,11,1.4,0.1,0.00%
211,Frank Darby (ATL),1,4,14,14,14,0,0,0,0,0,0,4,1.4,0.4,0.00%
212,Andy Isabella (ARI),1,1,13,13,13,0,0,0,0,0,0,3,1.3,0.4,0.10%
213,Kirk Merritt (NO),1,3,13,13,13,0,0,0,0,0,0,1,1.3,1.3,0.00%
214,C.J. Saunders (CAR),2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.00%
215,Jaydon Mickens (FA),2,3,10,5,12,0,0,0,0,0,0,12,1,0.1,0.00%
216,Tarik Black (NYJ),1,2,10,10,10,0,0,0,0,0,0,1,1,1,0.00%
217,Marvin Hall (FA),1,1,10,10,10,0,0,0,0,0,0,1,1,1,0.00%
218,Tommylee Lewis (FA),1,2,7,7,7,0,0,0,0,0,0,2,0.7,0.4,0.00%
219,Miles Boykin (PIT),1,1,6,6,6,0,0,0,0,0,0,2,0.6,0.3,0.10%
220,Easop Winston Jr. (FA),1,1,5,5,5,0,0,0,0,0,0,3,0.5,0.2,0.00%
221,Keke Coutee (IND),1,1,5,5,5,0,0,0,0,0,0,1,0.5,0.5,0.00%
222,Maurice Ffrench (FA),0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,0.00%
223,Isaiah Coulter (CHI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
224,Marquez Stevenson (BUF),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
225,Demetric Felton Jr. (CLE),18,21,181,10.1,33,3,2,7,24,0,0,15,0,0,0.10%
226,Pooka Williams Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
227,Tutu Atwell (LAR),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.20%
228,Dan Chisena (MIN),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
229,Josh Hammond (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
230,Matt Cole (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
231,Vyncint Smith (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
232,Damion Ratley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
233,Jordan Veasy (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
234,John Hightower (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
235,Mason Kinsey (TEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
236,Tyrie Cleveland (DEN),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.10%
237,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
