Player,FPTS,FPTS/G,Player Segment
Laviska Shenault Jr. (CAR),99.1,7.1,2
Christian Kirk (JAC),98.4,7.0,2
Sterling Shepard (NYG),96.5,8.0,2
Julio Jones (TB),95.1,10.6,2
Zach Pascal (PHI),92.9,5.8,2
Darnell Mooney (CHI),91.1,5.7,2
Darius Slayton (NYG),91.0,5.7,2
Mecole Hardman (KC),87.1,5.4,2
Rashard Higgins (CAR),83.9,6.5,2
David Moore (CHI),83.8,5.2,2
Jakobi Meyers (NE),83.6,6.0,2
Kendrick Bourne (NE),80.7,5.4,2
Greg Ward (FA),80.1,5.0,2
Travis Fulgham (GB),77.9,6.0,2
Hunter Renfrow (LV),75.6,4.7,2
Josh Reynolds (DET),72.3,4.5,2
Antonio Brown (FA),72.1,9.0,2
Isaiah McKenzie (BUF),69.6,4.4,2
Scotty Miller (TB),69.5,4.3,2
James Washington (DAL),69.2,4.3,2
Breshad Perriman (TB),69.1,5.8,2
Jalen Guyton (LAC),69.1,4.3,2
Tre'Quan Smith (NO),69.1,4.9,2
Damiere Byrd (ATL),67.9,4.2,2
Allen Lazard (GB),64.8,6.5,2
A.J. Green (ARI),64.3,4.0,2
Odell Beckham Jr. (FA),63.8,9.1,2
John Brown (FA),63.8,7.1,2
Demarcus Robinson (BAL),62.6,4.2,2
Randall Cobb (GB),62.1,6.2,2
Willie Snead IV (FA),61.2,4.7,2
Danny Amendola (FA),60.4,4.3,2
Braxton Berrios (NYJ),60.3,3.8,2
K.J. Hamler (DEN),60.1,4.6,2
Anthony Miller (PIT),59.7,3.7,2
Tyron Johnson (LV),59.5,5.0,2
Michael Pittman Jr. (IND),58.9,4.5,2
Henry Ruggs III (FA),58.1,4.5,2
Chris Conley (HOU),57.1,3.8,2
Preston Williams (CAR),56.8,7.1,2
Jalen Reagor (MIN),56.2,5.1,2
Cam Sims (WAS),54.2,3.4,2
Keke Coutee (IND),54.0,6.8,2
Golden Tate (FA),51.5,4.3,2
Sammy Watkins (GB),51.4,5.1,2
Jakeem Grant Sr. (CLE),51.3,3.7,2
Miles Boykin (PIT),50.6,3.2,2
Deebo Samuel (SF),47.7,6.8,2
Larry Fitzgerald (FA),46.9,3.6,2
Quintez Cephus (DET),46.9,3.6,2
Kenny Golladay (NYG),45.8,9.2,2
Donovan Peoples-Jones (CLE),44.4,3.7,2
Michael Thomas (NO),43.9,6.3,2
Marvin Hall (FA),42.3,3.5,2
Richie James Jr. (NYG),41.4,3.8,2
Collin Johnson (NYG),41.2,2.9,2
N'Keal Harry (CHI),40.9,2.9,2
