"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"238","Taiwan Jones (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"239","Nick Bellore (SEA)","0","0","0","0","0","0","1","1","4","4.0","0","0","10","0.0","0.0","0.2%"
"240","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","J.P. Holtz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"250","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"251","Tarik Cohen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"252","Brian Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"253","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"254","Jason Cabinda (DET)","3","23","7.7","21","1","0","4","7","16","4.0","1","0","10","0.0","0.0","0.0%"
"255","Gus Edwards (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.5%"
"256","Jordan Wilkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"257","Elijah McGuire (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"258","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Kenjon Barner (TB)","4","0","0.0","1","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"262","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Nate McCrary (FA)","1","-1","-1.0","0","0","0","0","0","0","0","0","0","1","-0.1","-0.1","0.0%"
"264","Khari Blasingame (CHI)","3","6","2.0","3","0","0","2","2","4","2.0","0","1","5","-1.0","-0.2","0.0%"
"265","Trenton Cannon (TEN)","3","4","1.3","3","0","0","0","0","0","0","0","1","10","-1.6","-0.2","0.0%"
""
""
